TWT,AMP
1410.68,0.033078577
1410.76,0.033034453
1410.84,0.032981149
1410.92,0.032918577
1411,0.03284663
1411.08,0.032765233
1411.16,0.03267426
1411.24,0.032573574
1411.32,0.032462978
1411.4,0.032342349
1411.48,0.032211606
1411.56,0.032070686
1411.64,0.031919534
1411.72,0.031758161
1411.8,0.031586481
1411.88,0.031404365
1411.96,0.031211708
1412.04,0.031008335
1412.12,0.030794135
1412.2,0.030568942
1412.28,0.030332893
1412.36,0.03008591
1412.44,0.029827926
1412.52,0.029558879
1412.6,0.029278764
1412.68,0.028987665
1412.76,0.028685603
1412.84,0.028372406
1412.92,0.02804789
1413,0.027712045
1413.08,0.027364855
1413.16,0.027006355
1413.24,0.026636569
1413.32,0.026255419
1413.4,0.025862853
1413.48,0.02545886
1413.56,0.025043461
1413.64,0.024616653
1413.72,0.024178438
1413.8,0.023729215
1413.88,0.023268546
1413.96,0.022796409
1414.04,0.02231278
1414.12,0.021817737
1414.2,0.021311381
1414.28,0.020793752
1414.36,0.020264899
1414.44,0.019724778
1414.52,0.019173489
1414.6,0.018611091
1414.68,0.01803765
1414.76,0.017453191
1414.84,0.016858002
1414.92,0.016252174
1415,0.01563573
1415.08,0.015008621
1415.16,0.014370921
1415.24,0.013722699
1415.32,0.013063986
1415.4,0.012394913
1415.48,0.011715583
1415.56,0.011026107
1415.64,0.01032662
1415.72,0.009617253
1415.8,0.008898127
1415.88,0.008169381
1415.96,0.007431239
1416.04,0.006683765
1416.12,0.005927076
1416.2,0.005161298
1416.28,0.004386505
1416.36,0.003602837
1416.44,0.002810496
1416.52,0.002009656
1416.6,0.001200388
1416.68,0.00038299
1416.76,-0.000442253
1416.84,-0.001275081
1416.92,-0.002115459
1417,-0.00296328
1417.08,-0.003818388
1417.16,-0.004680619
1417.24,-0.005550047
1417.32,-0.00642615
1417.4,-0.007308612
1417.48,-0.008197083
1417.56,-0.009091524
1417.64,-0.00999189
1417.72,-0.010898008
1417.8,-0.011809741
1417.88,-0.012726726
1417.96,-0.013648707
1418.04,-0.014575421
1418.12,-0.015506555
1418.2,-0.016441887
1418.28,-0.017381248
1418.36,-0.018324411
1418.44,-0.019271135
1418.52,-0.020221147
1418.6,-0.021174175
1418.68,-0.02212995
1418.76,-0.023088323
1418.84,-0.02404909
1418.92,-0.025011972
1419,-0.02597668
1419.08,-0.026942942
1419.16,-0.027910431
1419.24,-0.028878826
1419.32,-0.029847619
1419.4,-0.030817071
1419.48,-0.031786866
1419.56,-0.032756735
1419.64,-0.033726425
1419.72,-0.034695495
1419.8,-0.035663638
1419.88,-0.036630503
1419.96,-0.037595536
1420.04,-0.038558774
1420.12,-0.039520007
1420.2,-0.040478991
1420.28,-0.041435663
1420.36,-0.042389637
1420.44,-0.043340602
1420.52,-0.044288329
1420.6,-0.045232423
1420.68,-0.046172604
1420.76,-0.047108589
1420.84,-0.048040148
1420.92,-0.048967047
1421,-0.049889029
1421.08,-0.050805801
1421.16,-0.051716784
1421.24,-0.05262185
1421.32,-0.053520822
1421.4,-0.054413199
1421.48,-0.05529884
1421.56,-0.056177477
1421.64,-0.057048843
1421.72,-0.057912697
1421.8,-0.058768767
1421.88,-0.059616785
1421.96,-0.060456483
1422.04,-0.061287616
1422.12,-0.06210992
1422.2,-0.062923136
1422.28,-0.063726977
1422.36,-0.064521187
1422.44,-0.065305519
1422.52,-0.066079743
1422.6,-0.066843562
1422.68,-0.067596733
1422.76,-0.068338997
1422.84,-0.069070083
1422.92,-0.069789757
1423,-0.070497795
1423.08,-0.071193951
1423.16,-0.071877964
1423.24,-0.072549617
1423.32,-0.073208687
1423.4,-0.073854951
1423.48,-0.074488211
1423.56,-0.075108261
1423.64,-0.0757149
1423.72,-0.076307904
1423.8,-0.076886946
1423.88,-0.077451845
1423.96,-0.078002407
1424.04,-0.078538434
1424.12,-0.079059722
1424.2,-0.079566073
1424.28,-0.080057265
1424.36,-0.080533085
1424.44,-0.080993304
1424.52,-0.081437777
1424.6,-0.081866345
1424.68,-0.082278844
1424.76,-0.0826751
1424.84,-0.083054989
1424.92,-0.083418336
1425,-0.083764973
1425.08,-0.084094711
1425.16,-0.08440739
1425.24,-0.084702841
1425.32,-0.084980892
1425.4,-0.085241349
1425.48,-0.085484147
1425.56,-0.085709168
1425.64,-0.085916305
1425.72,-0.086105444
1425.8,-0.086276408
1425.88,-0.08642907
1425.96,-0.086563311
1426.04,-0.086679044
1426.12,-0.086776225
1426.2,-0.086854758
1426.28,-0.086914549
1426.36,-0.086955549
1426.44,-0.08697759
1426.52,-0.086980557
1426.6,-0.086964301
1426.68,-0.086928826
1426.76,-0.086873972
1426.84,-0.086799642
1426.92,-0.08670577
1427,-0.086592284
1427.08,-0.086459181
1427.16,-0.086306445
1427.24,-0.086134086
1427.32,-0.085942139
1427.4,-0.085730587
1427.48,-0.085499423
1427.56,-0.085248709
1427.64,-0.084978218
1427.72,-0.084687869
1427.8,-0.084377595
1427.88,-0.084047275
1427.96,-0.083697046
1428.04,-0.08332705
1428.12,-0.082937376
1428.2,-0.082528247
1428.28,-0.082099437
1428.36,-0.081650956
1428.44,-0.081182818
1428.52,-0.080695063
1428.6,-0.080187671
1428.68,-0.079660633
1428.76,-0.079113928
1428.84,-0.078547733
1428.92,-0.07796209
1429,-0.077357089
1429.08,-0.076732831
1429.16,-0.076089401
1429.24,-0.075426748
1429.32,-0.074745021
1429.4,-0.074044415
1429.48,-0.073325165
1429.56,-0.072587251
1429.64,-0.071830763
1429.72,-0.071055799
1429.8,-0.070262475
1429.88,-0.069450908
1429.96,-0.068621225
1430.04,-0.067773569
1430.12,-0.066908091
1430.2,-0.066024939
1430.28,-0.065124264
1430.36,-0.064206211
1430.44,-0.063270961
1430.52,-0.0623187
1430.6,-0.061349607
1430.68,-0.060363863
1430.76,-0.059361619
1430.84,-0.058343048
1430.92,-0.057308341
1431,-0.056257731
1431.08,-0.055191414
1431.16,-0.054109705
1431.24,-0.053012872
1431.32,-0.051901075
1431.4,-0.050774504
1431.48,-0.049633331
1431.56,-0.048477748
1431.64,-0.047308059
1431.72,-0.046124566
1431.8,-0.044927545
1431.88,-0.043717277
1431.96,-0.042494175
1432.04,-0.041258263
1432.12,-0.040009854
1432.2,-0.038749275
1432.28,-0.037476807
1432.36,-0.036192731
1432.44,-0.034897348
1432.52,-0.033590961
1432.6,-0.032273912
1432.68,-0.030946472
1432.76,-0.029608979
1432.84,-0.028261792
1432.92,-0.026905236
1433,-0.025539621
1433.08,-0.024165359
1433.16,-0.022782992
1433.24,-0.021392715
1433.32,-0.01999484
1433.4,-0.018589718
1433.48,-0.017177694
1433.56,-0.015758813
1433.64,-0.014333715
1433.72,-0.012902837
1433.8,-0.011466556
1433.88,-0.01002527
1433.96,-0.008579377
1434.04,-0.007129276
1434.12,-0.00567537
1434.2,-0.004218069
1434.28,-0.002757763
1434.36,-0.001294853
1434.44,0.00017029
1434.52,0.001637221
1434.6,0.003105534
1434.68,0.004574811
1434.76,0.006044587
1434.84,0.007514435
1434.92,0.008983912
1435,0.010452574
1435.08,0.011919993
1435.16,0.01338576
1435.24,0.014849431
1435.32,0.016310561
1435.4,0.017768705
1435.48,0.019223432
1435.56,0.020674315
1435.64,0.022120926
1435.72,0.023562791
1435.8,0.024999554
1435.88,0.0264306
1435.96,0.027855277
1436.04,0.029273189
1436.12,0.030683967
1436.2,0.032087171
1436.28,0.033482369
1436.36,0.034869112
1436.44,0.036247007
1436.52,0.037615595
1436.6,0.038974376
1436.68,0.040323088
1436.76,0.041661135
1436.84,0.042988036
1436.92,0.044303328
1437,0.045606385
1437.08,0.046896876
1437.16,0.048174426
1437.24,0.049438784
1437.32,0.050689245
1437.4,0.051925529
1437.48,0.053147177
1437.56,0.054353433
1437.64,0.055543893
1437.72,0.05671832
1437.8,0.0578764
1437.88,0.059017879
1437.96,0.06014203
1438.04,0.061248434
1438.12,0.062336666
1438.2,0.063406154
1438.28,0.064456641
1438.36,0.065487781
1438.44,0.066499229
1438.52,0.067490681
1438.6,0.068461792
1438.68,0.069412155
1438.76,0.070341365
1438.84,0.071249023
1438.92,0.072134753
1439,0.072998191
1439.08,0.073838976
1439.16,0.074656799
1439.24,0.075451412
1439.32,0.076222491
1439.4,0.076969715
1439.48,0.077692922
1439.56,0.078391642
1439.64,0.07906557
1439.72,0.079714413
1439.8,0.080337894
1439.88,0.080935687
1439.96,0.081507528
1440.04,0.082053162
1440.12,0.08257245
1440.2,0.083065212
1440.28,0.083531269
1440.36,0.083970491
1440.44,0.084382593
1440.52,0.084767339
1440.6,0.08512447
1440.68,0.08545368
1440.76,0.085754966
1440.84,0.086028209
1440.92,0.086273305
1441,0.086490323
1441.08,0.086679023
1441.16,0.086839235
1441.24,0.086970938
1441.32,0.087074012
1441.4,0.087148368
1441.48,0.087193921
1441.56,0.087210622
1441.64,0.087198436
1441.72,0.087157328
1441.8,0.087087229
1441.88,0.086988008
1441.96,0.086859786
1442.04,0.086702645
1442.12,0.086516687
1442.2,0.086302019
1442.28,0.086058669
1442.36,0.085786657
1442.44,0.085486029
1442.52,0.085156884
1442.6,0.084799329
1442.68,0.08441351
1442.76,0.083999498
1442.84,0.083557391
1442.92,0.083087306
1443,0.082589432
1443.08,0.082063986
1443.16,0.081511211
1443.24,0.080931418
1443.32,0.080324705
1443.4,0.079691247
1443.48,0.079031251
1443.56,0.07834487
1443.64,0.077632466
1443.72,0.076894316
1443.8,0.076130699
1443.88,0.075341938
1443.96,0.074528435
1444.04,0.073690499
1444.12,0.072828462
1444.2,0.071942509
1444.28,0.071032911
1444.36,0.070099983
1444.44,0.069143974
1444.52,0.068165253
1444.6,0.067164415
1444.68,0.066141946
1444.76,0.065098404
1444.84,0.064034244
1444.92,0.06294971
1445,0.061845177
1445.08,0.060721045
1445.16,0.059577561
1445.24,0.058415224
1445.32,0.057234502
1445.4,0.056035908
1445.48,0.054819963
1445.56,0.053587302
1445.64,0.052338512
1445.72,0.051074035
1445.8,0.049794289
1445.88,0.048499771
1445.96,0.047190993
1446.04,0.045868483
1446.12,0.044532925
1446.2,0.043184787
1446.28,0.041824571
1446.36,0.040452776
1446.44,0.039069899
1446.52,0.03767651
1446.6,0.036273176
1446.68,0.034860459
1446.76,0.033438864
1446.84,0.032009018
1446.92,0.030571565
1447,0.029127077
1447.08,0.027676144
1447.16,0.026219346
1447.24,0.024757264
1447.32,0.023290572
1447.4,0.02181988
1447.48,0.020345757
1447.56,0.018868739
1447.64,0.017389423
1447.72,0.01590845
1447.8,0.014426458
1447.88,0.012944123
1447.96,0.011461865
1448.04,0.009980188
1448.12,0.008499694
1448.2,0.007021016
1448.28,0.005544855
1448.36,0.004071768
1448.44,0.002602327
1448.52,0.001137076
1448.6,-0.000323503
1448.68,-0.001778833
1448.76,-0.003228304
1448.84,-0.004670952
1448.92,-0.006106453
1449,-0.007534235
1449.08,-0.00895373
1449.16,-0.010364347
1449.24,-0.011765561
1449.32,-0.013156842
1449.4,-0.014537659
1449.48,-0.0159075
1449.56,-0.017266016
1449.64,-0.018612598
1449.72,-0.019946687
1449.8,-0.021267891
1449.88,-0.022575563
1449.96,-0.023869238
1450.04,-0.025148473
1450.12,-0.026412342
1450.2,-0.027660762
1450.28,-0.028893068
1450.36,-0.030108541
1450.44,-0.031307046
1450.52,-0.032488191
1450.6,-0.033651523
1450.68,-0.034796594
1450.76,-0.035923203
1450.84,-0.037030755
1450.92,-0.038118834
1451,-0.039187048
1451.08,-0.04023503
1451.16,-0.041262398
1451.24,-0.042268788
1451.32,-0.043253847
1451.4,-0.044217219
1451.48,-0.045158567
1451.56,-0.046077564
1451.64,-0.046973893
1451.72,-0.047847232
1451.8,-0.048697298
1451.88,-0.049523783
1451.96,-0.050326282
1452.04,-0.051104693
1452.12,-0.051858753
1452.2,-0.05258825
1452.28,-0.053293155
1452.36,-0.053973124
1452.44,-0.054627898
1452.52,-0.055257246
1452.6,-0.055860876
1452.68,-0.05643872
1452.76,-0.056990611
1452.84,-0.057516389
1452.92,-0.05801579
1453,-0.05848876
1453.08,-0.058935167
1453.16,-0.059354899
1453.24,-0.059747788
1453.32,-0.060113912
1453.4,-0.060453293
1453.48,-0.060765947
1453.56,-0.061051805
1453.64,-0.061310652
1453.72,-0.061542454
1453.8,-0.061747189
1453.88,-0.061924815
1453.96,-0.062075432
1454.04,-0.062199075
1454.12,-0.062295803
1454.2,-0.062365589
1454.28,-0.062408397
1454.36,-0.062424205
1454.44,-0.062412948
1454.52,-0.062374934
1454.6,-0.062310338
1454.68,-0.062219282
1454.76,-0.062101925
1454.84,-0.061958465
1454.92,-0.061788873
1455,-0.061593257
1455.08,-0.061371744
1455.16,-0.061124343
1455.24,-0.060851363
1455.32,-0.060553035
1455.4,-0.060229622
1455.48,-0.059881263
1455.56,-0.059508244
1455.64,-0.059110802
1455.72,-0.058689068
1455.8,-0.058243278
1455.88,-0.057773647
1455.96,-0.057280381
1456.04,-0.056763497
1456.12,-0.056223513
1456.2,-0.055660823
1456.28,-0.05507576
1456.36,-0.054468492
1456.44,-0.0538393
1456.52,-0.053188449
1456.6,-0.052516222
1456.68,-0.051822937
1456.76,-0.051109187
1456.84,-0.050375226
1456.92,-0.049621339
1457,-0.048847879
1457.08,-0.048055022
1457.16,-0.047243169
1457.24,-0.046412738
1457.32,-0.045564145
1457.4,-0.044697781
1457.48,-0.04381402
1457.56,-0.042913235
1457.64,-0.041995824
1457.72,-0.041062172
1457.8,-0.040112674
1457.88,-0.03914773
1457.96,-0.038167732
1458.04,-0.037173111
1458.12,-0.036164288
1458.2,-0.035141683
1458.28,-0.03410574
1458.36,-0.033056875
1458.44,-0.031995523
1458.52,-0.030922131
1458.6,-0.029837129
1458.68,-0.028740894
1458.76,-0.027633846
1458.84,-0.026516408
1458.92,-0.02538904
1459,-0.024252255
1459.08,-0.023106523
1459.16,-0.021952295
1459.24,-0.020790152
1459.32,-0.019620546
1459.4,-0.018443941
1459.48,-0.017260771
1459.56,-0.016071424
1459.64,-0.014876316
1459.72,-0.013675841
1459.8,-0.012470066
1459.88,-0.011259898
1459.96,-0.010045887
1460.04,-0.008828549
1460.12,-0.00760847
1460.2,-0.00638588
1460.28,-0.005161249
1460.36,-0.003935048
1460.44,-0.002707724
1460.52,-0.001479738
1460.6,-0.000251509
1460.68,0.000976568
1460.76,0.002204365
1460.84,0.003431288
1460.92,0.004656761
1461,0.005880228
1461.08,0.007100863
1461.16,0.008318524
1461.24,0.009532759
1461.32,0.010743054
1461.4,0.011949164
1461.48,0.013150656
1461.56,0.014347074
1461.64,0.015537921
1461.72,0.016722457
1461.8,0.017900728
1461.88,0.019072392
1461.96,0.020236833
1462.04,0.021393746
1462.12,0.022542776
1462.2,0.023683512
1462.28,0.024815468
1462.36,0.025938293
1462.44,0.02705154
1462.52,0.028154802
1462.6,0.029247676
1462.68,0.030329719
1462.76,0.031400553
1462.84,0.032459788
1462.92,0.033506881
1463,0.034541677
1463.08,0.035563838
1463.16,0.036573055
1463.24,0.037569413
1463.32,0.038552274
1463.4,0.039521339
1463.48,0.040476279
1463.56,0.041416408
1463.64,0.042341364
1463.72,0.043250898
1463.8,0.044144723
1463.88,0.045022968
1463.96,0.045885391
1464.04,0.046731697
1464.12,0.047561557
1464.2,0.048374344
1464.28,0.049169751
1464.36,0.049947553
1464.44,0.050707517
1464.52,0.051449305
1464.6,0.052172839
1464.68,0.052877899
1464.76,0.05356427
1464.84,0.054231925
1464.92,0.054880651
1465,0.055510225
1465.08,0.056120393
1465.16,0.056710885
1465.24,0.057281466
1465.32,0.05783196
1465.4,0.05836221
1465.48,0.058872078
1465.56,0.059361424
1465.64,0.059830114
1465.72,0.060278056
1465.8,0.060705099
1465.88,0.061111109
1465.96,0.061495963
1466.04,0.061859568
1466.12,0.062201853
1466.2,0.062522728
1466.28,0.06282211
1466.36,0.063099954
1466.44,0.063356172
1466.52,0.063590703
1466.6,0.063803483
1466.68,0.063994473
1466.76,0.064163458
1466.84,0.064310261
1466.92,0.064435479
1467,0.064538861
1467.08,0.064620394
1467.16,0.064680067
1467.24,0.064717901
1467.32,0.064733909
1467.4,0.064728131
1467.48,0.064700669
1467.56,0.064651843
1467.64,0.064581428
1467.72,0.064489367
1467.8,0.064375659
1467.88,0.064240537
1467.96,0.064084005
1468.04,0.063905953
1468.12,0.063706812
